Model,F1 Score,Accuracy,Recall,Precision
Logistic Regression (Tuned),,,,
Logistic Regression (Tuned),0.7642942616555041,0.7687714285714286,0.7642118713757368,0.7710317050897311
Random Forest Classifier (Tuned),0.6762171704832487,0.6805714285714286,0.6765608331590415,0.6804331132340903
Random Forest Classifier (Tuned),0.7493285887909266,0.754357142857143,0.7498831513324522,0.7581227040056341
Logistic Regression (Tuned),0.7642942616555041,0.7687714285714286,0.7642118713757368,0.7710317050897311
