Model,Train Accuracy,Test Accuracy,Train Precision,Test Precision,Train Recall,Test Recall,Train F1,Test F1
LogisticRegression,0.7765571428571428,0.7663333333333333,0.7786077537799567,0.7678255101703911,0.77227358319875,0.7624389436883372,0.7724029374508253,0.7621314617696756
RandomForestClassifier,0.7011714285714286,0.6770333333333334,0.7033625901428642,0.6780311566989782,0.6983236339379139,0.6737924973936035,0.6984744124094108,0.6735768059879765
XGBClassifier,0.7964428571428571,0.7682,0.8017388596207228,0.7716816735047498,0.7921337964446571,0.7639033216164158,0.7928237007543352,0.7636957810464162
