Model,train_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro
Logistic Regression,0.7758464285714285,0.777485619029184,0.7716563744164777,0.7717609596923989,0.7656714285714286,0.7669446975766221,0.7612915692229799,0.7612284444420327
Support Vector Classifier (SVM),0.7785285714285715,0.7817859851508795,0.7745701829129756,0.7744757109722553,0.7637428571428571,0.7659665169398808,0.7594527434967668,0.7589236990064551
Random Forest Classifier,0.9924857142857142,0.9926794047855733,0.9924126704514802,0.9925082640158445,0.7194857142857143,0.7180087594834826,0.7159263034737732,0.715361869577638
XGBoost Classifier,0.7887321428571429,0.7953211989622588,0.7847086731586336,0.7852603273351942,0.7558,0.7596999239403484,0.7513672896914669,0.7508973855642405
